sequence,event_type,symbol,recorded_decision,replayed_decision,matched,detail
5655,market_gate,,skip,skip,True,four-factor market gate
5656,market_gate,,trade,trade,True,four-factor market gate
5657,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['SMSPHARMA-EQ', 'SIKA-EQ', 'PINELABS-EQ', 'MOLBIO-EQ', 'BALPHARMA-EQ']; replayed=['SMSPHARMA-EQ', 'SIKA-EQ', 'PINELABS-EQ', 'MOLBIO-EQ', 'BALPHARMA-EQ']"
5658,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
5659,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
5660,candidate_validation,SMSPHARMA-EQ,rejected,rejected,True,Range position 0.525 < 0.85 (price retreating from high)
5661,candidate_validation,PINELABS-EQ,rejected,rejected,True,Range position 0.762 < 0.85 (price retreating from high)
5662,candidate_validation,MOLBIO-EQ,rejected,rejected,True,Range position 0.452 < 0.85 (price retreating from high)
5663,candidate_validation,BALPHARMA-EQ,rejected,rejected,True,Wide spread: 0.34 (0.299% > 0.2%)
5664,candidate_validation,SIKA-EQ,rejected,rejected,True,Volume fading: current 1022 vs avg 1547 (ratio 0.66 < 1.2)
5665,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['SMSPHARMA-EQ', 'SIKA-EQ', 'FILATEX-EQ', 'MOLBIO-EQ', 'BALPHARMA-EQ']; replayed=['SMSPHARMA-EQ', 'SIKA-EQ', 'FILATEX-EQ', 'MOLBIO-EQ', 'BALPHARMA-EQ']"
5666,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
5667,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
5668,candidate_validation,SMSPHARMA-EQ,rejected,rejected,True,Range position 0.556 < 0.85 (price retreating from high)
5669,candidate_validation,MOLBIO-EQ,rejected,rejected,True,Range position 0.404 < 0.85 (price retreating from high)
5670,candidate_validation,BALPHARMA-EQ,rejected,rejected,True,Wide spread: 0.55 (0.485% > 0.2%)
5671,candidate_validation,SIKA-EQ,rejected,rejected,True,"Volume check failed: candle fetch error (POST https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData failed with status=403, content_type=unknown, client_public_ip=13.126.199.100, client_local_ip=172.31.33.249: Access denied because of exceeding access rate)"
5672,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['SMSPHARMA-EQ', 'SIKA-EQ', 'SUNTV-EQ', 'FILATEX-EQ', 'PINELABS-EQ']; replayed=['SMSPHARMA-EQ', 'SIKA-EQ', 'SUNTV-EQ', 'FILATEX-EQ', 'PINELABS-EQ']"
5673,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
5674,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
5675,candidate_validation,SMSPHARMA-EQ,rejected,rejected,True,Range position 0.550 < 0.85 (price retreating from high)
5676,candidate_validation,PINELABS-EQ,rejected,rejected,True,Range position 0.767 < 0.85 (price retreating from high)
5677,candidate_validation,SUNTV-EQ,accepted,accepted,True,All checks passed
5678,candidate_validation,SIKA-EQ,accepted,accepted,True,All checks passed
5679,position_sized,SIKA-EQ,45,45,True,risk-based position sizing
5687,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5688,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5689,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5690,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5691,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5692,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5693,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5694,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5695,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5696,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5697,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5698,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5699,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5700,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5701,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5702,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5703,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5704,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5705,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5706,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5707,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5708,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5709,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5710,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5711,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5712,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5713,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5714,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5715,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5716,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5717,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5718,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5719,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5720,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5721,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5722,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5723,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5724,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5725,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5726,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5727,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5728,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5729,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5730,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5731,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5732,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5733,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5734,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5735,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5736,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5737,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5738,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5739,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5740,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5741,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5742,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5743,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5744,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5745,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5746,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5747,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5748,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5749,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5750,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5751,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5752,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5753,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5754,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5755,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5756,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5757,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5758,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5759,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5760,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5761,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5762,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5763,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5764,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5765,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5766,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5767,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5768,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5769,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
5770,position_evaluated,SIKA-EQ,hold,hold,True,target and post-trail stop decision
