sequence,event_type,symbol,recorded_decision,replayed_decision,matched,detail
5950,market_gate,,trade,trade,True,four-factor market gate
5951,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['TDPOWERSYS-EQ', 'SIKA-EQ', 'BLACKBUCK-EQ', 'ALLTIME-EQ', 'BBOX-EQ']; replayed=['TDPOWERSYS-EQ', 'SIKA-EQ', 'BLACKBUCK-EQ', 'ALLTIME-EQ', 'BBOX-EQ']"
5952,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
5953,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
5954,candidate_validation,SIKA-EQ,rejected,rejected,True,Range position 0.783 < 0.85 (price retreating from high)
5955,candidate_validation,ALLTIME-EQ,rejected,rejected,True,Range position 0.821 < 0.85 (price retreating from high)
5956,candidate_validation,TDPOWERSYS-EQ,rejected,rejected,True,"Volume check failed: need >=3 candles, got 0"
5957,candidate_validation,BLACKBUCK-EQ,rejected,rejected,True,"Volume check failed: need >=3 candles, got 0"
5958,candidate_validation,BBOX-EQ,rejected,rejected,True,"Volume check failed: need >=3 candles, got 0"
5959,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['TDPOWERSYS-EQ', 'SIKA-EQ', 'BLACKBUCK-EQ', 'ALLTIME-EQ', 'BBOX-EQ']; replayed=['TDPOWERSYS-EQ', 'SIKA-EQ', 'BLACKBUCK-EQ', 'ALLTIME-EQ', 'BBOX-EQ']"
5960,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
5961,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
5962,candidate_validation,SIKA-EQ,rejected,rejected,True,Range position 0.783 < 0.85 (price retreating from high)
5963,candidate_validation,ALLTIME-EQ,rejected,rejected,True,Range position 0.821 < 0.85 (price retreating from high)
5964,candidate_validation,TDPOWERSYS-EQ,rejected,rejected,True,"Volume check failed: need >=3 candles, got 0"
5965,candidate_validation,BLACKBUCK-EQ,rejected,rejected,True,"Volume check failed: need >=3 candles, got 0"
5966,candidate_validation,BBOX-EQ,rejected,rejected,True,"Volume check failed: need >=3 candles, got 0"
5967,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['TDPOWERSYS-EQ', 'SIKA-EQ', 'BLACKBUCK-EQ', 'ALLTIME-EQ', 'BBOX-EQ']; replayed=['TDPOWERSYS-EQ', 'SIKA-EQ', 'BLACKBUCK-EQ', 'ALLTIME-EQ', 'BBOX-EQ']"
5968,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
5969,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
