sequence,event_type,symbol,recorded_decision,replayed_decision,matched,detail
338,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
339,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
340,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
341,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
342,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
343,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
344,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
345,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
346,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
347,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
348,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
349,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
350,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
351,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
352,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
353,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
354,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
355,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
356,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
357,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
358,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
359,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
360,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
361,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
362,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
363,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
364,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
365,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
366,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
367,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
368,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
369,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
370,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
371,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
372,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
373,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
374,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
375,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
376,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
377,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
378,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
379,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
380,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
381,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
382,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
383,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
384,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
385,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
386,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
387,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
388,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
389,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
390,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
391,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
392,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
